company_name,domain,source_type
Zopdev,zop.dev,seed
Tata Consumer Products,tataconsumer.com,seed
Coca-Cola India,coca-colaindia.com,seed
Diageo India,diageoindia.com,seed
Tata Digital,tatadigital.com,seed
Conde Nast,condenast.com,seed
Hindustan Unilever,hul.co.in,seed
PepsiCo India,pepsicoindia.co.in,seed
Britannia Industries,britannia.co.in,seed
Dabur India,dabur.com,seed
Marico,marico.com,seed
Godrej Consumer Products,godrejcp.com,seed
Nestle India,nestle.in,seed
ITC,itcportal.com,seed
Reliance Retail,relianceretail.com,seed
BigBasket,bigbasket.com,seed
Swiggy,swiggy.com,seed
Zomato,zomato.com,seed
Nykaa,nykaa.com,seed
