signal_code,product_scope,category,base_weight,half_life_days,min_confidence,enabled,dimension
compliance_initiative,shared,trigger_events,18,30,0.5,true,trigger_intent
audit_date_announced,shared,trigger_events,16,30,0.5,true,trigger_intent
launch_or_scale_event,shared,trigger_events,17,21,0.4,true,trigger_intent
erp_s4_migration_milestone,shared,trigger_events,22,30,0.45,true,trigger_intent
supply_chain_platform_rollout,shared,platform_demand,20,30,0.45,true,trigger_intent
cloud_cost_spike,zopnight,spend_variance,18,14,0.5,true,trigger_intent
cost_reduction_mandate,shared,spend_variance,21,21,0.45,true,trigger_intent
finops_tool_eval,zopnight,tooling_eval,10,30,0.5,true,tech_fit
vendor_consolidation_program,shared,tooling_eval,20,30,0.5,true,trigger_intent
governance_enforcement_need,shared,governance,18,30,0.5,true,trigger_intent
env_spinup_requests,zopday,env_speed,16,14,0.5,true,hiring_growth
idp_golden_path_initiative,zopday,platform_demand,15,30,0.5,true,hiring_growth
devops_bottleneck_language,zopday,onboarding_friction,14,21,0.5,true,hiring_growth
security_baseline_as_default,zopday,security_infra,12,30,0.5,true,hiring_growth
cloud_connected,shared,pql,18,14,0.8,true,engagement_pql
audit_viewed,shared,pql,12,14,0.7,true,engagement_pql
teammate_invited,shared,pql,10,21,0.7,true,engagement_pql
repo_added_deploy_attempted,shared,pql,14,14,0.7,true,engagement_pql
sso_rbac_audit_controls_request,shared,pql,15,21,0.6,true,engagement_pql
poc_stage_progression,shared,pql,24,14,0.75,true,engagement_pql
devops_role_open,shared,hiring,12,30,0.5,true,hiring_growth
finops_role_open,shared,hiring,14,30,0.5,true,hiring_growth
platform_role_open,shared,hiring,12,30,0.5,true,hiring_growth
cloud_infra_role_open,shared,hiring,16,30,0.5,true,hiring_growth
kubernetes_detected,shared,technographic,4,45,0.5,true,tech_fit
terraform_detected,shared,technographic,5,45,0.4,true,tech_fit
gitops_detected,shared,technographic,5,45,0.4,true,tech_fit
tooling_sprawl_detected,shared,technographic,8,45,0.4,true,tech_fit
high_intent_phrase_production_fast,shared,behavioral,14,14,0.5,true,trigger_intent
high_intent_phrase_devops_toil,shared,behavioral,14,14,0.5,true,trigger_intent
high_intent_phrase_cost_control,shared,behavioral,14,14,0.5,true,trigger_intent
enterprise_modernization_program,shared,trigger_events,12,30,0.4,true,trigger_intent
data_platform_initiative,shared,platform_demand,11,30,0.4,true,tech_fit
compliance_governance_messaging,shared,governance,16,30,0.5,true,trigger_intent
cloud_platform_messaging,shared,technographic,8,30,0.5,true,tech_fit
media_traffic_reliability_pressure,shared,trigger_events,18,21,0.5,true,trigger_intent
company_news_mention,shared,news_activity,6,14,0.3,true,firmographic
general_hiring_activity,shared,hiring,6,30,0.3,true,hiring_growth
cost_optimization,shared,spend_variance,15,21,0.45,true,trigger_intent
cloud_migration_intent,shared,trigger_events,16,30,0.45,true,trigger_intent
demand_planning_platform,shared,platform_demand,12,30,0.45,true,tech_fit
multi_cloud_strategy,shared,technographic,8,45,0.45,true,tech_fit
sap_erp_modernization,shared,trigger_events,20,30,0.45,true,trigger_intent
hiring_devops,shared,hiring,12,30,0.4,true,hiring_growth
security_review_started,shared,trigger_events,14,30,0.45,true,trigger_intent
warehouse_digitization,shared,trigger_events,14,30,0.45,true,trigger_intent
funding_stage_series_b_plus,shared,firmographic,15,90,0.7,true,firmographic
funding_stage_series_a,shared,firmographic,8,90,0.7,true,firmographic
recent_funding_event,shared,firmographic,12,60,0.65,true,firmographic
employee_growth_positive,shared,firmographic,10,45,0.6,true,firmographic
employee_count_in_range,shared,firmographic,5,90,0.7,true,firmographic
repo_starred,shared,pql,12,30,0.5,true,engagement_pql
github_migration_pr,shared,tooling_eval,18,21,0.55,true,tech_fit
github_infra_issue,shared,behavioral,12,14,0.5,true,trigger_intent
github_evaluation,shared,tooling_eval,15,21,0.5,true,tech_fit
github_stargazer_velocity,shared,pql,14,14,0.5,true,engagement_pql
cloud_infrastructure_detected,shared,technographic,5,45,0.4,true,tech_fit
modern_stack_detected,shared,technographic,3,45,0.3,true,tech_fit
enterprise_saas_detected,shared,technographic,4,45,0.4,true,tech_fit
data_platform_detected,shared,technographic,6,45,0.4,true,tech_fit
tech_evaluation_intent,shared,tooling_eval,12,21,0.5,true,tech_fit
infrastructure_pain,shared,behavioral,14,14,0.5,true,trigger_intent
vendor_evaluation,shared,tooling_eval,10,30,0.5,true,tech_fit
